Empresa;Ramo de atividade;Faturamento anual;Orçamento anual de TI;Investimento em Automação;Investimento em APIs;Investimento em BI;Investimento em Blockchain;Investimento em Cloud;Investimento em Cibersegurança;Investimento em Inteligência Artificial;Investimento em Metaverso;Investimento em ESG;Maiores desafios da área de TI;Maiores fatores de risco para atingir os desafios;Posição da área de TI em projetos de inovação
11;Bens de consumo;Até R$ 3 bilhões;Até R$ 30 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da segurança dos dados e do ambiente de TI;Posicionar a TI como uma área estratégica do negócio;Reduzir custos de operação da TI";"Orçamento insuficiente;Conflito de prioridades e múltiplas demandas";Não se envolve nos projetos de inovação, sendo acionada apenas quando há necessidade de avaliar as questões de tecnologia
12;Engenharia e construção cívil;Até R$ 5 bilhões;Até R$ 50 milhões;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;"Aumento da segurança dos dados e do ambiente de TI;Posicionar a TI como uma área estratégica do negócio;Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados;Atualização / substituição de solução de ERP e/ou CRM;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery";"Recrutamento e retenção de Talentos;Orçamento insuficiente;Conflito de prioridades e múltiplas demandas";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
13;Indústria Digital - TI e Telecom;Acima de 15 bilhões;Até R$ 2 bilhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Modernizar ou expandir a infraestrutura de TI tradicional (servidores, armazenamento e rede);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Reduzir custos de operação da TI;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery";"Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Integração entre novas tecnologias e legado";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
14;Transporte e Logística;Até R$ 2 bilhões;Até R$ 50 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Desenvolver soluções utilizando ferramentas de Inteligência Artificial;Desenvolver / ampliar iniciativas que visem à adequação às certificações ESG";"Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Baixo grau de maturidade na governança de TI da empresa;Falta de cultura em inovação";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
15;Indústria automotiva, autopeças e mecânica;Até R$ 2 bilhões;Até R$ 500 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Contratação / retenção de profissionais qualificados;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Recrutamento e retenção de Talentos;Conflito de prioridades e múltiplas demandas";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
16;Indústria automotiva, autopeças e mecânica;Até R$ 7 bilhões;Até R$ 100 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Gerenciar nosso ambiente multicloud;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Contratação / retenção de profissionais qualificados;Contratação de Tecnologia como serviço (SaaS e IaaS);Nova governança por meio Contratação de Tecnologia como serviço (SaaS e IaaS);Atualização do legado para novas soluções/plataformas;Atualização / substituição de solução de ERP e/ou CRM;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Recrutamento e retenção de Talentos;Conflito de prioridades e múltiplas demandas;Integração entre novas tecnologias e legado;Escassez de fornecedores qualificados";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
17;Agronegócios;Até R$ 3 bilhões;Até R$ 50 milhões;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas;Falta de cultura em inovação;Integração entre novas tecnologias e legado";Envolve-se informal e indiretamente com os projetos de inovação
18;Indústria Farmacêutica;Até R$ 2 bilhões;Até R$ 50 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Atualização do legado para novas soluções/plataformas;Atualização / substituição de solução de ERP e/ou CRM";"Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Processos lentos e inflexíveis;Integração entre novas tecnologias e legado";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
19;Outro;Até R$ 2 bilhões;Até R$ 80 milhões;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Modernizar ou expandir a infraestrutura de TI tradicional (servidores, armazenamento e rede);Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Gerenciar nosso ambiente multicloud;Atualização do legado para novas soluções/plataformas;Adequação aos processos & políticas de Governança / Compliance";"Falta de equipe com as habilidades necessárias;Baixo grau de maturidade na governança de TI da empresa;Falta de cultura em inovação;Integração entre novas tecnologias e legado";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
20;Siderurgia, Metalurgia ou Mineração;Até R$ 2 bilhões;Até R$ 30 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Modernizar ou expandir a infraestrutura de TI tradicional (servidores, armazenamento e rede);Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Reduzir custos de operação da TI;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery";"Falta de equipe com as habilidades necessárias;Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Resistência interna a mudanças;Falta de cultura em inovação;Processos lentos e inflexíveis";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
21;Engenharia e construção cívil;Até R$ 6 bilhões;Até R$ 80 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da segurança dos dados e do ambiente de TI;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Gerenciar nosso ambiente multicloud;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Reduzir custos de operação da TI;Contratação de Tecnologia como serviço (SaaS e IaaS);Atualização do legado para novas soluções/plataformas;Atualização / substituição de solução de ERP e/ou CRM;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Recrutamento e retenção de Talentos;Conflito de prioridades e múltiplas demandas;Integração entre novas tecnologias e legado";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
22;Agronegócios;Até R$ 5 bilhões;Até R$ 200 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Contratação de Tecnologia como serviço (SaaS e IaaS);Atualização do legado para novas soluções/plataformas;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Integração entre novas tecnologias e legado;Escassez de fornecedores qualificados";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
23;Serviços Diversos (mídia, comunicação, hotelaria, advocacia, consultoria, etc.);Até R$ 200 milhões;Abaixo de R$ 5 milhões;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Gerenciar nosso ambiente multicloud;Posicionar a TI como uma área estratégica do negócio;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Contratação de Tecnologia como serviço (SaaS e IaaS);Atualização do legado para novas soluções/plataformas;Atualização / substituição de solução de ERP e/ou CRM;Desenvolver soluções utilizando ferramentas de Inteligência Artificial;Desenvolver / ampliar iniciativas que visem à adequação às certificações ESG";"Conflito de prioridades e múltiplas demandas;Baixo grau de maturidade na governança de TI da empresa;Falta de cultura em inovação;Falta de patrocínio da alta Direção da empresa";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
24;Comércio (atacado ou varejo);Até R$ 2 bilhões;Até R$ 100 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas;Baixo grau de maturidade na governança de TI da empresa;Integração entre novas tecnologias e legado";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
25;Utilities;Até R$ 2 bilhões;Até R$ 80 milhões;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Recrutamento e retenção de Talentos;Processos lentos e inflexíveis;Escassez de fornecedores qualificados";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
26;Agronegócios;Até R$ 6 bilhões;Até R$ 200 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da segurança dos dados e do ambiente de TI;Modernizar ou expandir a infraestrutura de TI tradicional (servidores, armazenamento e rede);Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados;Atualização do legado para novas soluções/plataformas;Atualização / substituição de solução de ERP e/ou CRM;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery";"Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas;Integração entre novas tecnologias e legado";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
